r,l,t,f,y,ProductionByTechnology
RE1,S101,MINBIO,BIO,2020,41.33
RE1,S101,IMPCOA,COA,2020,1.3147
RE1,S101,IMPLFO,LFO,2020,32.8618
RE1,S101,MINHYD,HYD,2020,0.3761
RE1,S101,PWRHYD001,COM027,2020,0.0884
RE1,S101,PWRHYD002,ELC001,2020,0.2877
RE1,S101,PWRTRNIMP,ELC001,2020,1.7063
RE1,S101,PWRTRN,ELC002,2020,1.966
RE1,S101,PWRDIST,ELC003,2020,1.8241
RE1,S101,DEMTRAMCYGSL,TRAMCY,2020,2.4759
RE1,S101,DEMTRACARGSL,TRACAR,2020,2.4759
RE1,S101,DEMTRABUSGSL,TRABUS,2020,2.0257
RE1,S101,DEMINDELC,INDELC,2020,1.8241
RE1,S101,DEMINDHECOA,INDHEH,2020,1.0649
RE1,S101,DEMINDHEBIO,INDHEL,2020,1.7441
RE1,S101,DEMRESCKNBIO,RESCKN,2020,6.4514
RE1,S101,DEMRESHEBIO,RESHEL,2020,2.7649
RE1,S101,DEMCOMHEBIO,COMHEL,2020,0.0213
RE1,S101,BSTOPMCY,TRAMCY,2020,0.0
RE1,S101,TEC087,ELC001,2020,0.0884
RE1,S102,MINBIO,BIO,2020,41.33
RE1,S102,IMPCOA,COA,2020,1.3147
RE1,S102,IMPLFO,LFO,2020,32.8618
RE1,S102,MINHYD,HYD,2020,0.3761
RE1,S102,PWRHYD001,COM027,2020,0.0884
RE1,S102,PWRHYD002,ELC001,2020,0.2877
RE1,S102,PWRTRNIMP,ELC001,2020,1.9349
RE1,S102,PWRTRN,ELC002,2020,2.2417
RE1,S102,PWRDIST,ELC003,2020,2.0799
RE1,S102,DEMTRAMCYGSL,TRAMCY,2020,2.4759
RE1,S102,DEMTRACARGSL,TRACAR,2020,2.4759
RE1,S102,DEMTRABUSGSL,TRABUS,2020,2.0257
RE1,S102,DEMINDELC,INDELC,2020,2.0799
RE1,S102,DEMINDHECOA,INDHEH,2020,1.0649
RE1,S102,DEMINDHEBIO,INDHEL,2020,1.7441
RE1,S102,DEMRESCKNBIO,RESCKN,2020,6.4514
RE1,S102,DEMRESHEBIO,RESHEL,2020,2.7649
RE1,S102,DEMCOMHEBIO,COMHEL,2020,0.0213
RE1,S102,BSTOPMCY,TRAMCY,2020,0.0
RE1,S102,TEC087,ELC001,2020,0.0884
RE1,S103,MINBIO,BIO,2020,41.33
RE1,S103,IMPCOA,COA,2020,1.3147
RE1,S103,IMPLFO,LFO,2020,32.8618
RE1,S103,MINHYD,HYD,2020,0.3761
RE1,S103,PWRHYD001,COM027,2020,0.1338
RE1,S103,PWRHYD002,ELC001,2020,0.2423
RE1,S103,PWRTRNIMP,ELC001,2020,1.2944
RE1,S103,PWRTRN,ELC002,2020,1.5665
RE1,S103,PWRDIST,ELC003,2020,1.4534
RE1,S103,DEMTRAMCYGSL,TRAMCY,2020,2.4759
RE1,S103,DEMTRACARGSL,TRACAR,2020,2.4759
RE1,S103,DEMTRABUSGSL,TRABUS,2020,2.0257
RE1,S103,DEMINDELC,INDELC,2020,1.4534
RE1,S103,DEMINDHECOA,INDHEH,2020,1.0649
RE1,S103,DEMINDHEBIO,INDHEL,2020,1.7441
RE1,S103,DEMRESCKNBIO,RESCKN,2020,6.4514
RE1,S103,DEMRESHEBIO,RESHEL,2020,2.7649
RE1,S103,DEMCOMHEBIO,COMHEL,2020,0.0213
RE1,S103,BSTOPMCY,TRAMCY,2020,0.0
RE1,S103,TEC087,ELC001,2020,0.1338
RE1,S104,MINBIO,BIO,2020,41.33
RE1,S104,IMPCOA,COA,2020,1.3147
RE1,S104,IMPLFO,LFO,2020,32.8618
RE1,S104,MINHYD,HYD,2020,0.3761
RE1,S104,PWRHYD001,COM027,2020,0.1338
RE1,S104,PWRHYD002,ELC001,2020,0.2423
RE1,S104,PWRTRNIMP,ELC001,2020,1.5665
RE1,S104,PWRTRN,ELC002,2020,1.8304
RE1,S104,PWRDIST,ELC003,2020,1.6983
RE1,S104,DEMTRAMCYGSL,TRAMCY,2020,2.4759
RE1,S104,DEMTRACARGSL,TRACAR,2020,2.4759
RE1,S104,DEMTRABUSGSL,TRABUS,2020,2.0257
RE1,S104,DEMINDELC,INDELC,2020,1.6983
RE1,S104,DEMINDHECOA,INDHEH,2020,1.0649
RE1,S104,DEMINDHEBIO,INDHEL,2020,1.7441
RE1,S104,DEMRESCKNBIO,RESCKN,2020,6.4514
RE1,S104,DEMRESHEBIO,RESHEL,2020,2.7649
RE1,S104,DEMCOMHEBIO,COMHEL,2020,0.0213
RE1,S104,BSTOPMCY,TRAMCY,2020,0.0
RE1,S104,TEC087,ELC001,2020,0.1338
RE1,S105,MINBIO,BIO,2020,41.33
RE1,S105,IMPCOA,COA,2020,1.3147
RE1,S105,IMPLFO,LFO,2020,32.8618
RE1,S105,MINHYD,HYD,2020,0.3761
RE1,S105,PWRHYD001,COM027,2020,0.228
RE1,S105,PWRHYD002,ELC001,2020,0.1481
RE1,S105,PWRTRNIMP,ELC001,2020,1.123
RE1,S105,PWRTRN,ELC002,2020,1.4001
RE1,S105,PWRDIST,ELC003,2020,1.2991
RE1,S105,DEMTRAMCYGSL,TRAMCY,2020,2.4759
RE1,S105,DEMTRACARGSL,TRACAR,2020,2.4759
RE1,S105,DEMTRABUSGSL,TRABUS,2020,2.0257
RE1,S105,DEMINDELC,INDELC,2020,1.2991
RE1,S105,DEMINDHECOA,INDHEH,2020,1.0649
RE1,S105,DEMINDHEBIO,INDHEL,2020,1.7441
RE1,S105,DEMRESCKNBIO,RESCKN,2020,6.4514
RE1,S105,DEMRESHEBIO,RESHEL,2020,2.7649
RE1,S105,DEMCOMHEBIO,COMHEL,2020,0.0213
RE1,S105,BSTOPMCY,TRAMCY,2020,0.0
RE1,S105,TEC087,ELC001,2020,0.228
RE1,S106,MINBIO,BIO,2020,41.33
RE1,S106,IMPCOA,COA,2020,1.3147
RE1,S106,IMPLFO,LFO,2020,32.8618
RE1,S106,MINHYD,HYD,2020,0.3761
RE1,S106,PWRHYD001,COM027,2020,0.228
RE1,S106,PWRHYD002,ELC001,2020,0.1481
RE1,S106,PWRTRNIMP,ELC001,2020,1.3714
RE1,S106,PWRTRN,ELC002,2020,1.6411
RE1,S106,PWRDIST,ELC003,2020,1.5227
RE1,S106,DEMTRAMCYGSL,TRAMCY,2020,2.4759
RE1,S106,DEMTRACARGSL,TRACAR,2020,2.4759
RE1,S106,DEMTRABUSGSL,TRABUS,2020,2.0257
RE1,S106,DEMINDELC,INDELC,2020,1.5227
RE1,S106,DEMINDHECOA,INDHEH,2020,1.0649
RE1,S106,DEMINDHEBIO,INDHEL,2020,1.7441
RE1,S106,DEMRESCKNBIO,RESCKN,2020,6.4514
RE1,S106,DEMRESHEBIO,RESHEL,2020,2.7649
RE1,S106,DEMCOMHEBIO,COMHEL,2020,0.0213
RE1,S106,BSTOPMCY,TRAMCY,2020,0.0
RE1,S106,TEC087,ELC001,2020,0.228
RE1,S107,MINBIO,BIO,2020,41.33
RE1,S107,IMPCOA,COA,2020,1.3147
RE1,S107,IMPLFO,LFO,2020,32.8618
RE1,S107,MINHYD,HYD,2020,0.3761
RE1,S107,PWRHYD001,COM027,2020,0.1974
RE1,S107,PWRHYD002,ELC001,2020,0.1787
RE1,S107,PWRTRNIMP,ELC001,2020,1.5664
RE1,S107,PWRTRN,ELC002,2020,1.8303
RE1,S107,PWRDIST,ELC003,2020,1.6982
RE1,S107,DEMTRAMCYGSL,TRAMCY,2020,2.4759
RE1,S107,DEMTRACARGSL,TRACAR,2020,2.4759
RE1,S107,DEMTRABUSGSL,TRABUS,2020,2.0257
RE1,S107,DEMINDELC,INDELC,2020,1.6982
RE1,S107,DEMINDHECOA,INDHEH,2020,1.0649
RE1,S107,DEMINDHEBIO,INDHEL,2020,1.7441
RE1,S107,DEMRESCKNBIO,RESCKN,2020,6.4514
RE1,S107,DEMRESHEBIO,RESHEL,2020,2.7649
RE1,S107,DEMCOMHEBIO,COMHEL,2020,0.0213
RE1,S107,BSTOPMCY,TRAMCY,2020,0.0
RE1,S107,TEC087,ELC001,2020,0.1974
RE1,S108,MINBIO,BIO,2020,41.33
RE1,S108,IMPCOA,COA,2020,1.3147
RE1,S108,IMPLFO,LFO,2020,32.8618
RE1,S108,MINHYD,HYD,2020,0.3761
RE1,S108,PWRHYD001,COM027,2020,0.1974
RE1,S108,PWRHYD002,ELC001,2020,0.1787
RE1,S108,PWRTRNIMP,ELC001,2020,1.8531
RE1,S108,PWRTRN,ELC002,2020,2.1084
RE1,S108,PWRDIST,ELC003,2020,1.9562
RE1,S108,DEMTRAMCYGSL,TRAMCY,2020,2.4759
RE1,S108,DEMTRACARGSL,TRACAR,2020,2.4759
RE1,S108,DEMTRABUSGSL,TRABUS,2020,2.0257
RE1,S108,DEMINDELC,INDELC,2020,1.9562
RE1,S108,DEMINDHECOA,INDHEH,2020,1.0649
RE1,S108,DEMINDHEBIO,INDHEL,2020,1.7441
RE1,S108,DEMRESCKNBIO,RESCKN,2020,6.4514
RE1,S108,DEMRESHEBIO,RESHEL,2020,2.7649
RE1,S108,DEMCOMHEBIO,COMHEL,2020,0.0213
RE1,S108,BSTOPMCY,TRAMCY,2020,0.0
RE1,S108,TEC087,ELC001,2020,0.1974
RE1,S101,MINBIO,BIO,2030,30.8264
RE1,S101,IMPCOA,COA,2030,1.2589
RE1,S101,IMPLFO,LFO,2030,31.4665
RE1,S101,MINNGS,NGS,2030,3.5437
RE1,S101,MINSOL,SOL,2030,0.4097
RE1,S101,MINWND,WND,2030,2.0545
RE1,S101,MINHYD,HYD,2030,2.2519
RE1,S101,PWRBIO001,COM027,2030,0.7841
RE1,S101,PWRNGS001,ELC001,2030,1.7037
RE1,S101,PWRHYD001,COM027,2030,1.3566
RE1,S101,PWRHYD002,ELC001,2030,0.52
RE1,S101,PWRHYD003,ELC001,2030,0.3378
RE1,S101,PWRWND001,COM027,2030,1.0125
RE1,S101,PWRSOL001S,COM027,2030,0.3123
RE1,S101,PWRWND001S,COM027,2030,1.042
RE1,S101,PWRTRNIMP,ELC001,2030,1.552
RE1,S101,PWRTRN,ELC002,2030,8.3622
RE1,S101,PWRDIST,ELC003,2030,7.845
RE1,S101,PWRSOL002,ELC003,2030,0.4097
RE1,S101,PWRHYD004,ELC003,2030,0.0375
RE1,S101,DEMTRAEVC,ELCEV,2030,3.9473
RE1,S101,DEMTRAMCYELC,TRAMCY,2030,3.5561
RE1,S101,DEMTRACARGSL,TRACAR,2030,3.5561
RE1,S101,DEMTRABUSGSL,TRABUS,2030,3.2641
RE1,S101,DEMINDELC,INDELC,2030,0.7465
RE1,S101,INDENEFFDP,INDELC,2030,2.9265
RE1,S101,DEMINDHECOA,INDHEH,2030,1.0197
RE1,S101,DEMINDHEOIL,INDHEH,2030,0.5099
RE1,S101,DEMINDHEBIO,INDHEL,2030,1.9497
RE1,S101,DEMRESCKNELC,RESCKN,2030,0.8696
RE1,S101,DEMRESCKNBIO,RESCKN,2030,4.0356
RE1,S101,DEMRESHEBIO,RESHEL,2030,3.0929
RE1,S101,DEMCOMHEBIO,COMHEL,2030,0.0305
RE1,S101,TEC087,ELC001,2030,4.5074
RE1,S102,MINBIO,BIO,2030,30.8264
RE1,S102,IMPCOA,COA,2030,1.2589
RE1,S102,IMPLFO,LFO,2030,31.4665
RE1,S102,MINNGS,NGS,2030,1.5383
RE1,S102,MINSOL,SOL,2030,4.6441
RE1,S102,MINWND,WND,2030,1.9692
RE1,S102,MINHYD,HYD,2030,2.2519
RE1,S102,PWRBIO001,COM027,2030,0.7841
RE1,S102,PWRNGS001,ELC001,2030,0.7396
RE1,S102,PWRSOL001,COM027,2030,2.1859
RE1,S102,PWRHYD001,COM027,2030,1.3566
RE1,S102,PWRHYD002,ELC001,2030,0.52
RE1,S102,PWRHYD003,ELC001,2030,0.3378
RE1,S102,PWRWND001,COM027,2030,0.9272
RE1,S102,PWRSOL001S,COM027,2030,1.8736
RE1,S102,PWRWND001S,COM027,2030,1.042
RE1,S102,PWRTRN,ELC002,2030,9.3793
RE1,S102,PWRDIST,ELC003,2030,8.7991
RE1,S102,PWRSOL002,ELC003,2030,2.4582
RE1,S102,PWRHYD004,ELC003,2030,0.0375
RE1,S102,DEMTRAEVC,ELCEV,2030,3.9473
RE1,S102,DEMTRAMCYELC,TRAMCY,2030,3.5561
RE1,S102,DEMTRACARGSL,TRACAR,2030,3.5561
RE1,S102,DEMTRABUSGSL,TRABUS,2030,2.6142
RE1,S102,DEMINDELC,INDELC,2030,1.2615
RE1,S102,INDENEFFDP,INDELC,2030,2.9265
RE1,S102,DEMINDHECOA,INDHEH,2030,1.0197
RE1,S102,DEMINDHEOIL,INDHEH,2030,0.5099
RE1,S102,DEMINDHEBIO,INDHEL,2030,1.9497
RE1,S102,DEMRESCKNELC,RESCKN,2030,3.2387
